run,iteration,term_count,generator_index,angle_radians
1,0,184,,
1,1,844,321,5.7350124321976024
1,2,2451,240,3.8116049931098348
1,3,6437,193,4.5835620736126961
1,4,13977,101,3.415696558991173
1,5,15839,116,5.8752333142921085
1,6,16470,15,5.1261590640666563
1,7,16490,28,0.017206504032783308
1,8,16509,6,5.3872299529679575
1,9,16509,66,0.21102439329246717
1,10,16510,307,4.5845603803121859
2,0,184,,
2,1,582,320,0.17793774164533058
2,2,2541,66,0.7808948568301981
2,3,3914,33,4.2136574690389281
2,4,10023,326,4.0664116300840609
2,5,14570,8,3.8665786907160857
2,6,16422,204,2.4107171716328644
2,7,16493,30,6.2656548167242692
2,8,16500,113,6.1627701893613205
2,9,16507,181,4.3073873243438365
2,10,16508,159,4.0869561675646109
3,0,184,,
3,1,828,317,1.9493071941838678
3,2,2044,260,3.0525935883202191
3,3,6651,266,5.5888168916966281
3,4,13487,147,5.8687684957226693
3,5,14839,330,2.2480935229418599
3,6,15569,51,3.59102783505607
3,7,16366,218,2.0223650288392001
3,8,16498,272,3.7340972178071192
3,9,16504,319,2.1231588472374674
3,10,16506,198,2.4606147501308975
4,0,184,,
4,1,900,124,4.9454845209188152
4,2,2945,336,1.5040025672010786
4,3,7774,99,5.5071128410044157
4,4,11688,85,0.36799381575837975
4,5,14902,269,2.1118857763128847
4,6,15734,235,0.94423373836443381
4,7,16343,18,2.8295656917753607
4,8,16459,31,5.0034529548196325
4,9,16508,142,1.4491677387649573
4,10,16509,314,0.32685947450826425
5,0,184,,
5,1,562,215,4.2222683436753368
5,2,1993,152,1.2535925060964899
5,3,5649,376,5.9194712536356846
5,4,13581,75,2.2940548446177735
5,5,15851,357,0.66284639057246897
5,6,16394,34,3.9528030943812098
5,7,16496,235,5.8254838653206802
5,8,16506,219,2.7669712681277652
5,9,16509,339,5.997868964330948
5,10,16509,112,3.1409380316828077
6,0,184,,
6,1,838,18,4.7609507476672102
6,2,2898,160,3.1253989717454731
6,3,5798,357,3.3257663878598351
6,4,8792,234,4.9372371693168109
6,5,12602,132,2.6053595402076226
6,6,15439,376,4.6148963866277271
6,7,16361,228,4.4682424822906013
6,8,16499,358,5.8563037283435877
6,9,16505,6,0.72214303274604308
6,10,16508,173,4.5805370723256731
7,0,184,,
7,1,590,366,6.0143289364143389
7,2,2059,350,0.93471185589631511
7,3,7305,252,6.1112070723518999
7,4,8139,365,5.5916300080398749
7,5,12968,329,5.1671271502276594
7,6,15933,5,3.015853070493006
7,7,16474,45,1.4600421144640967
7,8,16499,326,5.0383642703155358
7,9,16505,31,5.8027111306887109
7,10,16510,370,1.6721458166626353
8,0,184,,
8,1,582,161,3.8602209583541511
8,2,3221,203,0.17822484531405991
8,3,5542,248,4.5189911092580148
8,4,9030,167,0.10047899997889743
8,5,11280,56,4.7623466015679492
8,6,15361,351,3.2217580761284523
8,7,16376,261,5.8377339889502871
8,8,16476,15,0.4152085724784495
8,9,16504,307,5.2861523699368256
8,10,16508,276,0.41902568322112932
9,0,184,,
9,1,864,245,1.5184932958997228
9,2,2325,130,5.5802119834027675
9,3,6284,85,1.4191794739727839
9,4,11704,162,0.7826002976443287
9,5,14959,330,1.811635576037979
9,6,15903,365,3.682719829030431
9,7,16368,53,3.4814533021028349
9,8,16507,212,5.0875628502801478
9,9,16508,287,3.5215742666727579
9,10,16510,97,1.8122039367930747
10,0,184,,
10,1,344,171,3.4721605234856692
10,2,1294,156,3.7317358171542252
10,3,2844,185,5.3299708560434755
10,4,3000,309,0.91403719771704472
10,5,6221,312,2.5541797750724551
10,6,10711,236,5.7174407780529366
10,7,13207,268,0.27059724147768094
10,8,16094,362,5.1692160117607848
10,9,16455,240,2.6099348804478151
10,10,16479,139,5.2138122081384406
